filename,index,keys,path,split,theta_0,theta_1,theta_2,theta_shape,theta_status
seq_000000.npz,0,u|y|sensor_mask|sensor_mask_t|c_field|theta|dt|dx,D:\47\472\New-Papers\GIS\Codes\data\sim\sequences\seq_000000.npz,train,0.9262677431106567,0.2782846987247467,0.06007436662912369,"(3,)",OK
seq_000001.npz,1,u|y|sensor_mask|sensor_mask_t|c_field|theta|dt|dx,D:\47\472\New-Papers\GIS\Codes\data\sim\sequences\seq_000001.npz,train,1.256947636604309,0.12770695984363556,0.04988883063197136,"(3,)",OK
seq_000002.npz,2,u|y|sensor_mask|sensor_mask_t|c_field|theta|dt|dx,D:\47\472\New-Papers\GIS\Codes\data\sim\sequences\seq_000002.npz,train,1.2113215923309326,0.2143273502588272,0.0029093585908412933,"(3,)",OK
seq_000003.npz,3,u|y|sensor_mask|sensor_mask_t|c_field|theta|dt|dx,D:\47\472\New-Papers\GIS\Codes\data\sim\sequences\seq_000003.npz,train,1.2391399145126343,0.02123384363949299,0.05467250570654869,"(3,)",OK
seq_000004.npz,4,u|y|sensor_mask|sensor_mask_t|c_field|theta|dt|dx,D:\47\472\New-Papers\GIS\Codes\data\sim\sequences\seq_000004.npz,train,1.268934965133667,0.0520707406103611,0.050787534564733505,"(3,)",OK
seq_000005.npz,5,u|y|sensor_mask|sensor_mask_t|c_field|theta|dt|dx,D:\47\472\New-Papers\GIS\Codes\data\sim\sequences\seq_000005.npz,train,0.9426007270812988,0.29518988728523254,0.007849318906664848,"(3,)",OK
seq_000006.npz,6,u|y|sensor_mask|sensor_mask_t|c_field|theta|dt|dx,D:\47\472\New-Papers\GIS\Codes\data\sim\sequences\seq_000006.npz,train,0.9960834383964539,0.07366520911455154,0.0481109619140625,"(3,)",OK
seq_000007.npz,7,u|y|sensor_mask|sensor_mask_t|c_field|theta|dt|dx,D:\47\472\New-Papers\GIS\Codes\data\sim\sequences\seq_000007.npz,train,1.3852753639221191,0.14616091549396515,0.02179279737174511,"(3,)",OK
seq_000008.npz,8,u|y|sensor_mask|sensor_mask_t|c_field|theta|dt|dx,D:\47\472\New-Papers\GIS\Codes\data\sim\sequences\seq_000008.npz,train,1.2739454507827759,0.22237028181552887,0.01219872571527958,"(3,)",OK
seq_000009.npz,9,u|y|sensor_mask|sensor_mask_t|c_field|theta|dt|dx,D:\47\472\New-Papers\GIS\Codes\data\sim\sequences\seq_000009.npz,train,1.1433424949645996,0.08349870890378952,0.055252112448215485,"(3,)",OK
seq_000010.npz,10,u|y|sensor_mask|sensor_mask_t|c_field|theta|dt|dx,D:\47\472\New-Papers\GIS\Codes\data\sim\sequences\seq_000010.npz,train,1.1511088609695435,0.34526219964027405,0.027567032724618912,"(3,)",OK
seq_000011.npz,11,u|y|sensor_mask|sensor_mask_t|c_field|theta|dt|dx,D:\47\472\New-Papers\GIS\Codes\data\sim\sequences\seq_000011.npz,train,1.0381696224212646,0.08356625586748123,0.049223050475120544,"(3,)",OK
seq_000012.npz,12,u|y|sensor_mask|sensor_mask_t|c_field|theta|dt|dx,D:\47\472\New-Papers\GIS\Codes\data\sim\sequences\seq_000012.npz,train,0.9495834708213806,0.3363509476184845,0.004375031683593988,"(3,)",OK
seq_000013.npz,13,u|y|sensor_mask|sensor_mask_t|c_field|theta|dt|dx,D:\47\472\New-Papers\GIS\Codes\data\sim\sequences\seq_000013.npz,train,0.8000837564468384,0.33644941449165344,0.016361109912395477,"(3,)",OK
seq_000014.npz,14,u|y|sensor_mask|sensor_mask_t|c_field|theta|dt|dx,D:\47\472\New-Papers\GIS\Codes\data\sim\sequences\seq_000014.npz,train,1.2745150327682495,0.07259516417980194,0.024138567969202995,"(3,)",OK
seq_000015.npz,15,u|y|sensor_mask|sensor_mask_t|c_field|theta|dt|dx,D:\47\472\New-Papers\GIS\Codes\data\sim\sequences\seq_000015.npz,train,0.9782142043113708,0.3380890488624573,0.0013669567415490746,"(3,)",OK
seq_000016.npz,16,u|y|sensor_mask|sensor_mask_t|c_field|theta|dt|dx,D:\47\472\New-Papers\GIS\Codes\data\sim\sequences\seq_000016.npz,train,1.2743513584136963,0.20533180236816406,0.0636662170290947,"(3,)",OK
seq_000017.npz,17,u|y|sensor_mask|sensor_mask_t|c_field|theta|dt|dx,D:\47\472\New-Papers\GIS\Codes\data\sim\sequences\seq_000017.npz,train,0.952673077583313,0.3334907293319702,0.00044383248314261436,"(3,)",OK
seq_000018.npz,18,u|y|sensor_mask|sensor_mask_t|c_field|theta|dt|dx,D:\47\472\New-Papers\GIS\Codes\data\sim\sequences\seq_000018.npz,train,1.0171613693237305,0.14342494308948517,0.09501679986715317,"(3,)",OK
seq_000019.npz,19,u|y|sensor_mask|sensor_mask_t|c_field|theta|dt|dx,D:\47\472\New-Papers\GIS\Codes\data\sim\sequences\seq_000019.npz,train,1.1833505630493164,0.2234497368335724,0.07785829901695251,"(3,)",OK
